Place,Username,Points,Victories,Games,Kills,Deaths,Beds,Teams Eliminated,Winstreak,Country
317,jhdn,1162950,2875,5931,29814,19125,3192,3730,0,None

318,Aastral,1153700,3190,4121,24607,8571,5230,4155,0,Vietnam

319,aveia,1150740,3016,5449,14877,13970,2621,2358,9,United Kingdom

320,4ana,1145950,2913,4449,30834,12054,3668,2937,2,None

321,le1fy,1144055,3015,3313,22090,4218,3940,3683,4,None

322,_XaviWxlf,1141450,3255,9237,7135,20389,988,1110,0,United Kingdom

323,TorqGekko,1138310,2802,4722,23440,12392,4013,4443,2,None

324,turtlelord66,1137815,3217,3280,28355,2870,4150,4440,13,Germany

325,CraftingToty100,1136140,3067,4756,34161,9316,4183,3236,0,Norway

326,LukaDark,1135895,2910,4557,21468,13401,2743,2092,0,United States

327,s1fia,1134020,2797,5718,28870,14495,4327,2719,0,None

328,Meiido,1133985,2560,3487,26266,12736,7266,7506,0,France

329,Linaa_,1131020,2923,6894,26580,24525,3068,2376,0,United Kingdom

330,CHEWIE006,1121080,2800,5470,16005,16050,3745,5356,2,Colombia

331,Josayy,1117815,3120,4330,21670,11001,3600,2856,1,Germany

332,xRare_,1117485,2889,5397,20788,14402,2316,2107,3,United States

333,Fcssy,1117225,3089,5519,23133,10511,3682,2585,3,None

334,Dxmiien,1116495,2706,4146,35885,7066,2281,3219,0,None

335,Unbeliebte,1116320,3137,6283,18550,9825,1460,2715,0,None

336,MatthewOf4s,1116300,2917,4659,24958,6296,5203,4267,1,Germany

337,_heh,1113760,2616,4239,35470,12600,4561,3961,2,None

338,carrylord66,1110525,3061,3176,20641,5462,3921,3714,14,Ukraine

339,Razzy__,1106110,2933,6356,19911,14814,3177,2837,0,Portugal

340,mucuss,1105065,3329,5128,15909,15043,3932,2543,3,None

341,saiparina,1102775,2900,4660,30556,9139,6065,5115,0,Belgium

342,bbleed,1101120,3031,4042,18728,6472,2666,4108,0,None

343,BlRDS,1094210,3073,3701,22202,4659,2387,6943,0,None

344,VincentVanGamer,1093660,2758,3904,29084,10758,4207,4145,0,Japan

345,MICROWAVEGIRL,1092845,3059,4204,24928,11164,6254,4716,0,United Kingdom

346,vaisakh,1088965,3057,4815,21753,8916,2728,4867,0,None

347,HomoStateOfMind,1088750,2830,5534,29468,12533,3248,2634,1,United States

348,thesilenta,1087745,3016,5082,20633,12886,4123,2888,1,Germany

349,wiszo,1086300,2663,5839,19009,14410,5723,4123,0,United States

350,_Til,1085085,2755,3249,27472,7250,7391,6372,0,Ireland

351,Breathlessly,1081985,2412,6335,26524,22440,6388,4297,0,None

352,Sclena,1081485,2692,6766,25214,16622,1918,1962,0,None

353,CupcakerocketX,1079500,2825,5514,23595,16872,4632,3542,0,None

354,Sun5_,1077855,2970,4671,24423,10357,2638,3923,0,Norway

355,Squxi,1077605,2618,4598,22080,13651,3561,3050,0,United States

356,flowerpiig,1074090,3023,4851,19396,8545,2436,2318,5,Sweden

357,TheFancyTomato,1073815,2778,5514,28064,12054,3953,2614,10,None

358,Asashyn,1072040,2517,3974,30085,13812,4608,3530,0,Belgium

359,Tiilly,1068930,2796,4880,22365,14439,3139,2250,16,None

360,Heapyy,1068215,2205,7511,33860,19999,5267,3964,0,France

361,Shimoritsu,1066570,2915,5017,15553,17649,1275,1184,1,None

362,Adorrable,1065205,2780,6551,15250,15179,2827,2315,0,Canada

363,Arega,1056565,3065,4384,19337,10904,2621,1845,0,None

364,lucado31,1055105,2729,4420,25712,14552,6537,4957,5,Germany

365,SavageImpacts,1052210,2469,4247,31780,13799,4453,3728,0,None

366,Kxtsuro,1051175,2501,5006,26097,16659,4177,4092,6,United Kingdom

367,Mwia,1048960,2678,3398,32610,9335,4789,4109,0,United States

368,MeAndThisChair,1048485,3026,5562,11555,8613,1826,1555,0,None

369,BabyLays,1047870,2870,5011,17630,14301,2151,2006,0,United States

370,BBulu,1045840,2724,4082,25316,11346,2234,3506,0,Austria

371,ghrau,1044735,2307,4898,28667,18056,4526,4238,0,None

372,Ultriligy,1041335,2778,4865,30395,13264,2924,2594,0,None

373,Jounella,1037805,2576,6128,25944,14891,2401,2265,0,None

374,FloranNinja,1036025,2391,4328,27593,21160,4718,3934,0,United Kingdom

